店名,カテゴリー,地域,住所,電話,ホームページ,テイクアウト,デリバリー,備考
BLUE MAGIC（対象：店内飲食のみ）,ダイニングバー・バル,中央,〒320-0801 宇都宮市池上町3-8,028-307-0971,http://bluemagic-brew.com/,あり,なし,
天ぷら旬造,和食,中央,〒320-0804 宇都宮市二荒町1-6宇都宮屋台横丁内,070-6406-0383,なし,なし,なし,
居酒屋　紗羅都伽,居酒屋,西部,〒321-0347 宇都宮市飯田町204-1,028-648-4529,なし,なし,なし,
京遊膳かが田,和食,西部,〒320-0051 宇都宮市上戸祭町63-1,028-621-5182,http://www.kyoyuzen.com,あり,なし,
更科,うどん・そば,南部,〒321-0166 宇都宮市今宮1-2-1,028-645-2532,なし,なし,なし,
六本杉珈琲,カフェ・スイーツ,北部,〒321-2116 宇都宮市徳次郎町2479-1栃木県済生会高齢者ケアセンター1階,090-9688-0343,なし,あり,なし,
春鮨,和食,南部,〒321-0921 宇都宮市瑞穂2-15-2,028-656-4141,なし,あり,なし,
Nepal India Restaurant MAYA,各国料理（韓国料理・カレー等）,中央,〒320-0811 宇都宮市大通り2-4-8,028-678-6265,なし,あり,なし,
呑み喰処　おいちゃん,居酒屋,北部,〒321-0973 宇都宮市岩曽町1364-3とよ里ハイツ106,028-663-1523,なし,なし,なし,
ラ・クルヴァ　ヴェンティ　２０,イタリアン・フレンチ,中央,〒320-0806 宇都宮市中央3-3-2,028-348-3045,なし,あり,なし,
串焼き　かめや,居酒屋,中央,〒320-0801 宇都宮市池上町3-3,028-639-9674,https://www.kameya-utsunomiya.jp,なし,なし,
The FLAIR BAR,ダイニングバー・バル,中央,〒320-0803 宇都宮市曲師町1-5,028-633-6300,https://flair-bar.net,なし,なし,
レストランNukumori,洋食,東部,〒321-0968 宇都宮市中今泉2-6-8,028-666-5952,なし,あり,なし,
Diningbar Takuan,居酒屋,東部,〒321-0952 宇都宮市泉が丘2-1-16泉が丘地神コーポ101,028-662-1853,なし,あり,なし,
森のフレンチAoyagi,イタリアン・フレンチ,南部,〒320-0852 宇都宮市下砥上町56-8,028-684-0122,https://www.resto-utsunomiya.com,あり,なし,
